recNo,TxDate,Size,ProdName,UnitPrice
1,2021-08-25 09:02,Regular,Flavoured iced latte - Hazelnut,2.75
2,2021-08-25 09:04,,,
3,2021-08-25 09:06,,,
4,2021-08-25 09:08,,,
5,2021-08-25 09:10,,,
6,2021-08-25 09:12,Large,Latte,2.45
7,2021-08-25 09:14,,,
8,2021-08-25 09:17,,,
9,2021-08-25 09:19,,,
10,2021-08-25 09:21,,,
11,2021-08-25 09:23,,,
12,2021-08-25 09:25,,,
13,2021-08-25 09:27,,,
14,2021-08-25 09:29,,,
15,2021-08-25 09:32,,,
16,2021-08-25 09:34,,,
17,2021-08-25 09:36,,,
18,2021-08-25 09:38,,,
19,2021-08-25 09:40,,,
20,2021-08-25 09:42,,,
21,2021-08-25 09:44,,,
22,2021-08-25 09:46,,,
23,2021-08-25 09:49,,,
24,2021-08-25 09:51,,,
25,2021-08-25 09:53,,,
26,2021-08-25 09:55,,,
27,2021-08-25 09:57,Regular,Latte,2.15
28,2021-08-25 09:59,Large,Flavoured latte - Hazelnut,2.85
29,2021-08-25 10:01,,,
30,2021-08-25 10:02,Regular,Flat white,2.15
31,2021-08-25 10:03,,,
32,2021-08-25 10:04,Regular,Flat white,2.15
33,2021-08-25 10:05,,,
34,2021-08-25 10:06,,,
35,2021-08-25 10:07,,,
36,2021-08-25 10:08,,,
37,2021-08-25 10:09,,,
38,2021-08-25 10:10,,,
39,2021-08-25 10:11,,,
40,2021-08-25 10:12,,,
41,2021-08-25 10:13,,,
42,2021-08-25 10:14,,,
43,2021-08-25 10:15,,,
44,2021-08-25 10:16,,,
45,2021-08-25 10:17,,,
46,2021-08-25 10:18,,,
47,2021-08-25 10:19,,,
48,2021-08-25 10:20,,,
49,2021-08-25 10:21,,,
50,2021-08-25 10:22,,,
51,2021-08-25 10:23,,,
52,2021-08-25 10:24,,,
53,2021-08-25 10:25,,,
54,2021-08-25 10:26,,,
55,2021-08-25 10:27,,,
56,2021-08-25 10:27,,,
57,2021-08-25 10:28,,,
58,2021-08-25 10:29,,,
59,2021-08-25 10:30,,,
60,2021-08-25 10:31,,,
61,2021-08-25 10:32,,,
62,2021-08-25 10:33,,,
63,2021-08-25 10:34,,,
64,2021-08-25 10:35,,,
65,2021-08-25 10:36,,,
66,2021-08-25 10:37,,,
67,2021-08-25 10:38,,,
68,2021-08-25 10:39,,,
69,2021-08-25 10:40,,,
70,2021-08-25 10:41,,,
71,2021-08-25 10:42,,,
72,2021-08-25 10:43,,,
73,2021-08-25 10:44,,,
74,2021-08-25 10:45,,,
75,2021-08-25 10:46,,,
76,2021-08-25 10:47,,,
77,2021-08-25 10:48,,,
78,2021-08-25 10:49,,,
79,2021-08-25 10:50,Large,Flavoured iced latte - Hazelnut,3.25
80,2021-08-25 10:51,,,
81,2021-08-25 10:52,,,
82,2021-08-25 10:53,,,
83,2021-08-25 10:54,,,
84,2021-08-25 10:55,,,
85,2021-08-25 10:56,Regular,Flavoured latte - Hazelnut,2.55
86,2021-08-25 10:56,,,
87,2021-08-25 10:57,Regular,Flat white,2.15
88,2021-08-25 10:58,,,
89,2021-08-25 10:59,,,
90,2021-08-25 11:00,,,
91,2021-08-25 11:03,,,
92,2021-08-25 11:06,,,
93,2021-08-25 11:08,,,
94,2021-08-25 11:11,,,
95,2021-08-25 11:13,Large,Flavoured iced latte - Caramel,3.25
96,2021-08-25 11:16,,,
97,2021-08-25 11:19,,,
98,2021-08-25 11:21,,,
99,2021-08-25 11:24,,,
100,2021-08-25 11:26,,,
101,2021-08-25 11:29,,,
102,2021-08-25 11:32,,,
103,2021-08-25 11:34,,,
104,2021-08-25 11:37,,,
105,2021-08-25 11:39,,,
106,2021-08-25 11:42,,,
107,2021-08-25 11:45,,,
108,2021-08-25 11:47,,,
109,2021-08-25 11:50,,,
110,2021-08-25 11:52,,,
111,2021-08-25 11:55,,,
112,2021-08-25 11:58,,,
113,2021-08-25 12:00,,,
114,2021-08-25 12:05,,,
115,2021-08-25 12:09,,,
116,2021-08-25 12:14,,,
117,2021-08-25 12:19,,,
118,2021-08-25 12:23,,,
119,2021-08-25 12:28,,,
120,2021-08-25 12:32,,,
121,2021-08-25 12:37,,,
122,2021-08-25 12:42,,,
123,2021-08-25 12:46,,,
124,2021-08-25 12:51,,,
125,2021-08-25 12:55,,,
126,2021-08-25 13:00,,,
127,2021-08-25 13:02,,,
128,2021-08-25 13:04,,,
129,2021-08-25 13:06,,,
130,2021-08-25 13:08,,,
131,2021-08-25 13:10,,,
