recNo,TxDate,Size,ProdName,UnitPrice
1,2021-08-25 09:02,Large,Flavoured iced latte - Caramel,3.25
2,2021-08-25 09:04,Large,Flat white,2.45
3,2021-08-25 09:06,Regular,Flavoured latte - Hazelnut,2.55
4,2021-08-25 09:08,Regular,Latte,2.15
5,2021-08-25 09:10,Large,Flavoured iced latte - Caramel,3.25
6,2021-08-25 09:12,Large,Flavoured latte - Hazelnut,2.85
7,2021-08-25 09:14,Regular,Flavoured iced latte - Vanilla,2.75
8,2021-08-25 09:17,Regular,Flavoured iced latte - Caramel,2.75
9,2021-08-25 09:19,Large,Flat white,2.45
10,2021-08-25 09:21,Regular,Flavoured iced latte - Vanilla,2.75
11,2021-08-25 09:23,Regular,Latte,2.15
12,2021-08-25 09:25,Large,Flat white,2.45
13,2021-08-25 09:27,Regular,Flavoured iced latte - Vanilla,2.75
14,2021-08-25 09:29,Regular,Flavoured iced latte - Caramel,2.75
15,2021-08-25 09:32,Large,Flat white,2.45
16,2021-08-25 09:34,Regular,Latte,2.15
17,2021-08-25 09:36,Regular,Flavoured latte - Hazelnut,2.55
18,2021-08-25 09:38,Large,Flavoured iced latte - Caramel,3.25
19,2021-08-25 09:40,Regular,Flavoured latte - Hazelnut,2.55
20,2021-08-25 09:42,Regular,Flavoured iced latte - Hazelnut,2.75
21,2021-08-25 09:44,Regular,Flat white,2.15
22,2021-08-25 09:46,Large,Flavoured latte - Hazelnut,2.85
23,2021-08-25 09:49,Regular,Flavoured iced latte - Vanilla,2.75
24,2021-08-25 09:51,Regular,Latte,2.15
25,2021-08-25 09:53,Regular,Flat white,2.15
26,2021-08-25 09:55,Large,Flat white,2.45
27,2021-08-25 09:57,Large,Flat white,2.45
28,2021-08-25 09:59,Regular,Flavoured iced latte - Caramel,2.75
29,2021-08-25 10:01,Large,Flat white,2.45
30,2021-08-25 10:02,Regular,Flat white,2.15
31,2021-08-25 10:03,Large,Flavoured iced latte - Hazelnut,3.25
32,2021-08-25 10:04,Regular,Flavoured latte - Hazelnut,2.55
33,2021-08-25 10:05,Regular,Flavoured iced latte - Vanilla,2.75
34,2021-08-25 10:06,Large,Latte,2.45
35,2021-08-25 10:07,Large,Flavoured iced latte - Vanilla,3.25
36,2021-08-25 10:08,Large,Flat white,2.45
37,2021-08-25 10:09,Regular,Flavoured iced latte - Vanilla,2.75
38,2021-08-25 10:10,Large,Flavoured iced latte - Caramel,3.25
39,2021-08-25 10:11,Regular,Flavoured iced latte - Caramel,2.75
40,2021-08-25 10:12,Large,Flavoured iced latte - Hazelnut,3.25
41,2021-08-25 10:13,Regular,Latte,2.15
