recNo,TxDate,Size,ProdName,UnitPrice
1,2021-08-25 09:02,Regular,Flavoured iced latte - Hazelnut,2.75
2,2021-08-25 09:04,Regular,Latte,2.15
3,2021-08-25 09:06,Large,Latte,2.45
4,2021-08-25 09:08,Large,Latte,2.45
5,2021-08-25 09:10,Regular,Flat white,2.15
6,2021-08-25 09:12,Regular,Flavoured iced latte - Vanilla,2.75
7,2021-08-25 09:14,Regular,Flavoured iced latte - Vanilla,2.75
8,2021-08-25 09:17,Large,Latte,2.45
9,2021-08-25 09:19,Large,Flavoured latte - Hazelnut,2.85
10,2021-08-25 09:21,Large,Flavoured latte - Hazelnut,2.85
11,2021-08-25 09:23,,,
12,2021-08-25 09:25,Large,Latte,2.45
13,2021-08-25 09:27,Regular,Flavoured iced latte - Caramel,2.75
14,2021-08-25 09:29,Regular,Flavoured iced latte - Hazelnut,2.75
15,2021-08-25 09:32,Large,Flavoured iced latte - Hazelnut,3.25
16,2021-08-25 09:34,,,
17,2021-08-25 09:36,Large,Flavoured iced latte - Vanilla,3.25
18,2021-08-25 09:38,Regular,Flavoured iced latte - Hazelnut,2.75
19,2021-08-25 09:40,Large,Flavoured latte - Hazelnut,2.85
20,2021-08-25 09:42,Regular,Latte,2.15
21,2021-08-25 09:44,Regular,Flavoured iced latte - Hazelnut,2.75
22,2021-08-25 09:46,Regular,Flat white,2.15
23,2021-08-25 09:49,Large,Flavoured latte - Hazelnut,2.85
24,2021-08-25 09:51,,,
25,2021-08-25 09:53,Large,Latte,2.45
26,2021-08-25 09:55,Large,Flavoured iced latte - Caramel,3.25
27,2021-08-25 09:57,Regular,Flavoured iced latte - Vanilla,2.75
28,2021-08-25 09:59,Large,Flat white,2.45
29,2021-08-25 10:01,Regular,Flat white,2.15
30,2021-08-25 10:02,Regular,Flavoured iced latte - Vanilla,2.75
31,2021-08-25 10:03,Large,Flavoured iced latte - Hazelnut,3.25
32,2021-08-25 10:04,Large,Flavoured iced latte - Caramel,3.25
33,2021-08-25 10:05,Regular,Latte,2.15
34,2021-08-25 10:06,Large,Flavoured iced latte - Vanilla,3.25
35,2021-08-25 10:07,Regular,Flavoured latte - Hazelnut,2.55
36,2021-08-25 10:08,Regular,Flat white,2.15
37,2021-08-25 10:09,Regular,Flavoured iced latte - Vanilla,2.75
38,2021-08-25 10:10,Regular,Flat white,2.15
39,2021-08-25 10:11,,,
40,2021-08-25 10:12,Large,Flavoured iced latte - Hazelnut,3.25
41,2021-08-25 10:13,Large,Flavoured iced latte - Vanilla,3.25
42,2021-08-25 10:14,Large,Latte,2.45
43,2021-08-25 10:15,Large,Flavoured latte - Hazelnut,2.85
44,2021-08-25 10:16,Large,Flavoured latte - Hazelnut,2.85
45,2021-08-25 10:17,Regular,Flavoured iced latte - Vanilla,2.75
46,2021-08-25 10:18,Regular,Latte,2.15
47,2021-08-25 10:19,Large,Flavoured iced latte - Vanilla,3.25
48,2021-08-25 10:20,Large,Flat white,2.45
49,2021-08-25 10:21,,,
50,2021-08-25 10:22,Large,Flavoured latte - Hazelnut,2.85
51,2021-08-25 10:23,Regular,Flavoured latte - Hazelnut,2.55
52,2021-08-25 10:24,Regular,Flat white,2.15
53,2021-08-25 10:25,Regular,Latte,2.15
54,2021-08-25 10:26,Regular,Flavoured latte - Hazelnut,2.55
55,2021-08-25 10:27,,,
56,2021-08-25 10:27,Large,Flavoured iced latte - Caramel,3.25
57,2021-08-25 10:28,Regular,Latte,2.15
58,2021-08-25 10:29,,,
59,2021-08-25 10:30,Large,Flavoured iced latte - Vanilla,3.25
60,2021-08-25 10:31,Regular,Flavoured iced latte - Vanilla,2.75
61,2021-08-25 10:32,,,
62,2021-08-25 10:33,Regular,Flat white,2.15
63,2021-08-25 10:34,Large,Flavoured latte - Hazelnut,2.85
64,2021-08-25 10:35,Regular,Flavoured latte - Hazelnut,2.55
65,2021-08-25 10:36,Regular,Flat white,2.15
66,2021-08-25 10:37,Regular,Flavoured latte - Hazelnut,2.55
67,2021-08-25 10:38,Large,Flavoured latte - Hazelnut,2.85
68,2021-08-25 10:39,Large,Latte,2.45
69,2021-08-25 10:40,Large,Flat white,2.45
70,2021-08-25 10:41,Large,Flavoured iced latte - Caramel,3.25
71,2021-08-25 10:42,Large,Flavoured iced latte - Hazelnut,3.25
72,2021-08-25 10:43,Regular,Flavoured iced latte - Vanilla,2.75
73,2021-08-25 10:44,Large,Flat white,2.45
74,2021-08-25 10:45,Large,Latte,2.45
75,2021-08-25 10:46,Regular,Flavoured iced latte - Hazelnut,2.75
76,2021-08-25 10:47,,,
77,2021-08-25 10:48,,,
78,2021-08-25 10:49,Regular,Latte,2.15
79,2021-08-25 10:50,Regular,Latte,2.15
80,2021-08-25 10:51,,,
81,2021-08-25 10:52,Regular,Latte,2.15
82,2021-08-25 10:53,Large,Flavoured iced latte - Vanilla,3.25
83,2021-08-25 10:54,Large,Flavoured iced latte - Hazelnut,3.25
84,2021-08-25 10:55,Regular,Latte,2.15
85,2021-08-25 10:56,Regular,Latte,2.15
86,2021-08-25 10:56,Regular,Flat white,2.15
87,2021-08-25 10:57,Regular,Flavoured iced latte - Hazelnut,2.75
88,2021-08-25 10:58,Large,Flavoured iced latte - Caramel,3.25
89,2021-08-25 10:59,Regular,Flavoured iced latte - Hazelnut,2.75
90,2021-08-25 11:00,Large,Flat white,2.45
91,2021-08-25 11:03,,,
92,2021-08-25 11:06,Regular,Flat white,2.15
93,2021-08-25 11:08,,,
94,2021-08-25 11:11,Large,Flavoured iced latte - Caramel,3.25
95,2021-08-25 11:13,Regular,Flavoured iced latte - Hazelnut,2.75
96,2021-08-25 11:16,Regular,Flavoured latte - Hazelnut,2.55
97,2021-08-25 11:19,Regular,Flavoured iced latte - Caramel,2.75
98,2021-08-25 11:21,Large,Latte,2.45
99,2021-08-25 11:24,Regular,Flavoured iced latte - Caramel,2.75
100,2021-08-25 11:26,Regular,Flavoured latte - Hazelnut,2.55
101,2021-08-25 11:29,,,
102,2021-08-25 11:32,Large,Flavoured iced latte - Vanilla,3.25
103,2021-08-25 11:34,,,
104,2021-08-25 11:37,Regular,Flavoured latte - Hazelnut,2.55
105,2021-08-25 11:39,Regular,Flavoured latte - Hazelnut,2.55
106,2021-08-25 11:42,,,
107,2021-08-25 11:45,,,
108,2021-08-25 11:47,,,
109,2021-08-25 11:50,,,
110,2021-08-25 11:52,Large,Flavoured latte - Hazelnut,2.85
111,2021-08-25 11:55,Large,Latte,2.45
112,2021-08-25 11:58,Regular,Flavoured iced latte - Vanilla,2.75
113,2021-08-25 12:00,Large,Flavoured iced latte - Caramel,3.25
114,2021-08-25 12:05,Large,Flat white,2.45
115,2021-08-25 12:09,,,
116,2021-08-25 12:14,Large,Flavoured latte - Hazelnut,2.85
117,2021-08-25 12:19,Large,Flavoured iced latte - Caramel,3.25
118,2021-08-25 12:23,Large,Latte,2.45
119,2021-08-25 12:28,Regular,Latte,2.15
120,2021-08-25 12:32,Regular,Flavoured iced latte - Hazelnut,2.75
121,2021-08-25 12:37,Large,Flavoured iced latte - Caramel,3.25
122,2021-08-25 12:42,Regular,Flavoured latte - Hazelnut,2.55
123,2021-08-25 12:46,Regular,Flat white,2.15
124,2021-08-25 12:51,Large,Flat white,2.45
125,2021-08-25 12:55,Regular,Flavoured latte - Hazelnut,2.55
126,2021-08-25 13:00,Regular,Flavoured iced latte - Vanilla,2.75
127,2021-08-25 13:02,,,
128,2021-08-25 13:04,Regular,Flat white,2.15
129,2021-08-25 13:06,Large,Latte,2.45
130,2021-08-25 13:08,Large,Latte,2.45
131,2021-08-25 13:10,,,
132,2021-08-25 13:12,Large,Flavoured iced latte - Vanilla,3.25
133,2021-08-25 13:15,,,
134,2021-08-25 13:17,Large,Flavoured latte - Hazelnut,2.85
135,2021-08-25 13:19,Large,Flat white,2.45
136,2021-08-25 13:21,Regular,Flavoured iced latte - Caramel,2.75
137,2021-08-25 13:23,Regular,Flavoured iced latte - Vanilla,2.75
138,2021-08-25 13:25,Regular,Flat white,2.15
139,2021-08-25 13:27,Large,Latte,2.45
140,2021-08-25 13:29,Regular,Flat white,2.15
141,2021-08-25 13:31,Large,Flavoured iced latte - Vanilla,3.25
142,2021-08-25 13:33,Large,Flavoured iced latte - Caramel,3.25
143,2021-08-25 13:35,Large,Flat white,2.45
144,2021-08-25 13:37,Large,Flavoured iced latte - Vanilla,3.25
145,2021-08-25 13:39,Large,Flavoured iced latte - Vanilla,3.25
146,2021-08-25 13:41,,,
147,2021-08-25 13:43,,,
148,2021-08-25 13:46,,,
149,2021-08-25 13:48,Regular,Latte,2.15
150,2021-08-25 13:50,Large,Flavoured latte - Hazelnut,2.85
151,2021-08-25 13:52,Regular,Flavoured iced latte - Hazelnut,2.75
152,2021-08-25 13:54,,,
153,2021-08-25 13:56,Regular,Flat white,2.15
154,2021-08-25 13:58,,,
155,2021-08-25 14:00,Regular,Flavoured iced latte - Vanilla,2.75
156,2021-08-25 14:01,Regular,Latte,2.15
157,2021-08-25 14:03,Regular,Flavoured iced latte - Hazelnut,2.75
158,2021-08-25 14:04,Regular,Flavoured latte - Hazelnut,2.55
159,2021-08-25 14:05,Regular,Flavoured iced latte - Caramel,2.75
160,2021-08-25 14:06,Large,Flavoured iced latte - Hazelnut,3.25
161,2021-08-25 14:08,Large,Flavoured iced latte - Caramel,3.25
162,2021-08-25 14:09,Regular,Flat white,2.15
163,2021-08-25 14:10,Large,Flavoured iced latte - Caramel,3.25
164,2021-08-25 14:11,Regular,Flat white,2.15
165,2021-08-25 14:13,Regular,Latte,2.15
166,2021-08-25 14:14,,,
167,2021-08-25 14:15,,,
168,2021-08-25 14:16,Large,Latte,2.45
169,2021-08-25 14:18,,,
170,2021-08-25 14:19,,,
171,2021-08-25 14:20,Large,Flavoured iced latte - Hazelnut,3.25
172,2021-08-25 14:22,Regular,Flavoured iced latte - Caramel,2.75
173,2021-08-25 14:23,Regular,Flavoured latte - Hazelnut,2.55
174,2021-08-25 14:24,,,
175,2021-08-25 14:25,Regular,Flavoured latte - Hazelnut,2.55
176,2021-08-25 14:27,Regular,Flat white,2.15
177,2021-08-25 14:28,Regular,Latte,2.15
178,2021-08-25 14:29,Regular,Flat white,2.15
179,2021-08-25 14:30,Large,Flavoured iced latte - Hazelnut,3.25
180,2021-08-25 14:32,Large,Flavoured latte - Hazelnut,2.85
181,2021-08-25 14:33,,,
182,2021-08-25 14:34,Large,Flavoured latte - Hazelnut,2.85
183,2021-08-25 14:35,,,
184,2021-08-25 14:37,Large,Flavoured iced latte - Vanilla,3.25
185,2021-08-25 14:38,,,
186,2021-08-25 14:39,,,
187,2021-08-25 14:41,Large,Flavoured iced latte - Vanilla,3.25
188,2021-08-25 14:42,Large,Flat white,2.45
189,2021-08-25 14:43,,,
190,2021-08-25 14:44,Regular,Flat white,2.15
191,2021-08-25 14:46,,,
192,2021-08-25 14:47,Large,Flavoured latte - Hazelnut,2.85
193,2021-08-25 14:48,Regular,Flavoured iced latte - Caramel,2.75
194,2021-08-25 14:49,Regular,Flavoured latte - Hazelnut,2.55
195,2021-08-25 14:51,,,
196,2021-08-25 14:52,,,
197,2021-08-25 14:53,Regular,Flavoured iced latte - Vanilla,2.75
198,2021-08-25 14:54,Large,Flat white,2.45
199,2021-08-25 14:56,,,
200,2021-08-25 14:57,Regular,Flavoured iced latte - Hazelnut,2.75
201,2021-08-25 14:58,Regular,Flat white,2.15
202,2021-08-25 15:00,Large,Flat white,2.45
203,2021-08-25 15:01,Regular,Flavoured latte - Hazelnut,2.55
204,2021-08-25 15:02,,,
205,2021-08-25 15:03,Regular,Latte,2.15
206,2021-08-25 15:05,Large,Flavoured latte - Hazelnut,2.85
207,2021-08-25 15:06,Large,Flavoured iced latte - Hazelnut,3.25
208,2021-08-25 15:07,,,
209,2021-08-25 15:08,Large,Latte,2.45
210,2021-08-25 15:10,Regular,Flat white,2.15
211,2021-08-25 15:11,Large,Flavoured latte - Hazelnut,2.85
212,2021-08-25 15:12,Regular,Flat white,2.15
213,2021-08-25 15:13,,,
214,2021-08-25 15:15,Large,Flavoured iced latte - Vanilla,3.25
215,2021-08-25 15:16,Large,Flat white,2.45
216,2021-08-25 15:17,,,
217,2021-08-25 15:18,Large,Latte,2.45
218,2021-08-25 15:20,Large,Flat white,2.45
219,2021-08-25 15:21,Large,Flat white,2.45
220,2021-08-25 15:22,Regular,Flavoured iced latte - Hazelnut,2.75
221,2021-08-25 15:23,Large,Flavoured iced latte - Caramel,3.25
222,2021-08-25 15:25,Large,Flavoured latte - Hazelnut,2.85
223,2021-08-25 15:26,Regular,Flavoured latte - Hazelnut,2.55
224,2021-08-25 15:27,Regular,Latte,2.15
225,2021-08-25 15:28,,,
226,2021-08-25 15:30,Large,Flat white,2.45
227,2021-08-25 15:31,,,
228,2021-08-25 15:32,Large,Flavoured iced latte - Vanilla,3.25
229,2021-08-25 15:33,Regular,Latte,2.15
230,2021-08-25 15:35,,,
231,2021-08-25 15:36,Large,Latte,2.45
232,2021-08-25 15:37,Regular,Latte,2.15
